Paper Title,Number_of_Hallmarks,Total_Score,Primary_Hallmark,Primary_Hallmark_Score,Is_Aging_Related
"Structural Basis of Sirtuin 6-Catalyzed Nucleosome Deacetylation",2,2.900819,"epigenetic alterations",2.617442,Yes
"The crosstalk between Nrf2 and NF-κB pathways in coronary artery disease: Can it be regulated by SIRT6?",3,2.833558,"epigenetic alterations",1.209698,Yes
"Role of sirtuins in chronic obstructive pulmonary disease",4,3.521629,"epigenetic alterations",2.002984,Yes
"Sirtuin 6 promotes transforming growth factor‐β1/H<sub>2</sub>O<sub>2</sub>/<scp>HOC</scp>l‐mediated enhancement of hepatocellular carcinoma cell tumorigenicity by suppressing cellular senescence",2,2.415230,"epigenetic alterations",1.796528,Yes
"SIRT6 Is Required for Normal Retinal Function",2,1.918465,"epigenetic alterations",1.835356,Yes
"SIRT6 Overexpression Improves Various Aspects of Mouse Healthspan",3,2.415507,"epigenetic alterations",1.060997,Yes
"LC–MS/MS-based quantitative study of the acyl group- and site-selectivity of human sirtuins to acylated nucleosomes",1,0.242235,"epigenetic alterations",0.242235,Yes
"Long non-coding RNA PVT1 knockdown suppresses fibroblast-like synoviocyte inflammation and induces apoptosis in rheumatoid arthritis through demethylation of sirt6",3,1.679229,"epigenetic alterations",0.961627,Yes
"SIRT6 histone deacetylase functions as a potential oncogene in human melanoma",2,1.498611,"epigenetic alterations",1.073410,Yes
"Sirt6 stabilizes atherosclerosis plaques by promoting macrophage autophagy and reducing contact with endothelial cells",3,1.850646,"epigenetic alterations",0.784919,Yes
"SIRT6 transcriptionally regulates fatty acid transport by suppressing PPARγ",2,1.821116,"epigenetic alterations",1.699020,Yes
"SIRT6 inhibition delays peripheral nerve recovery by suppressing migration, phagocytosis and M2-polarization of macrophages",1,0.463368,"stem cell exhaustion",0.463368,Yes
"Caffeic Acid Phenethyl Ester Suppresses Oxidative Stress and Regulates M1/M2 Microglia Polarization via Sirt6/Nrf2 Pathway to Mitigate Cognitive Impairment in Aged Mice following Anesthesia and Surgery",2,1.065914,"mitochondrial dysfunction",0.781714,Yes
"The effects of caloric restriction and a high-fat diet on ovarian lifespan and the expression of SIRT1 and SIRT6 proteins in rats.",0,0.000000,"None",0.000000,No
"Transcriptional and phenotypic changes in aorta and aortic valve with aging and MnSOD deficiency in mice",0,0.000000,"None",0.000000,No
"A fluorogenic assay for screening Sirt6 modulators",1,1.493391,"epigenetic alterations",1.493391,Yes
"Increased Amino Acid Uptake Supports Autophagy-Deficient Cell Survival upon Glutamine Deprivation",1,0.893395,"disabled macroautophagy",0.893395,Yes
"Myeloid sirtuin 6 deficiency accelerates experimental rheumatoid arthritis by enhancing macrophage activation and infiltration into synovium",2,2.888557,"epigenetic alterations",2.210127,Yes
"Enhanced SIRT6 activity abrogates the neurotoxic phenotype of astrocytes expressing ALS‐linked mutant SOD1",1,1.063881,"mitochondrial dysfunction",1.063881,Yes
"EP300 and SIRT1/6 Co-Regulate Lapatinib Sensitivity Via Modulating FOXO3-Acetylation and Activity in Breast Cancer",1,0.486662,"epigenetic alterations",0.486662,Yes
"Five Days Periodic Fasting Elevates Levels of Longevity Related Christensenella and Sirtuin Expression in Humans",1,1.260795,"epigenetic alterations",1.260795,Yes
"Characterization of the SIRT family of NAD+-dependent protein deacetylases in the context of a mammalian model of hibernation, the thirteen-lined ground squirrel",1,2.547548,"epigenetic alterations",2.547548,Yes
"Targeting aberrant cancer metabolism – The role of sirtuins",2,3.270516,"epigenetic alterations",3.144455,Yes
"Sirtuin‐6 deficiency exacerbates diabetes‐induced impairment of wound healing",3,1.505316,"epigenetic alterations",0.527523,Yes
"Epidermal growth factor receptor mediated proliferation depends on increased lipid droplet density regulated via a negative regulatory loop with FOXO3/Sirtuin6",0,0.000000,"None",0.000000,No
"The Role of Sirtuins in Cartilage Homeostasis and Osteoarthritis",1,0.808703,"epigenetic alterations",0.808703,Yes
"NR1D1 Recruitment to Sites of DNA Damage Inhibits Repair and Is Associated with Chemosensitivity of Breast Cancer",1,1.722796,"genome instability",1.722796,Yes
"The Identification of a SIRT6 Activator from Brown Algae Fucus distichus",1,0.464785,"epigenetic alterations",0.464785,Yes
"Suppression of SIRT6 by miR-33a facilitates tumor growth of glioma through apoptosis and oxidative stress resistance",1,0.984119,"epigenetic alterations",0.984119,Yes
"SIRT6 Is Involved in the Progression of Ovarian Carcinomas via β-Catenin-Mediated Epithelial to Mesenchymal Transition",0,0.000000,"None",0.000000,No
"Quercetin based derivatives as sirtuin inhibitors",1,1.465785,"epigenetic alterations",1.465785,Yes
"Sirt6-induced autophagy restricted TREM-1-mediated pyroptosis in ox-LDL-treated endothelial cells: relevance to prognostication of patients with acute myocardial infarction",2,1.384407,"disabled macroautophagy",0.693842,Yes
"Advances of Molecular Markers and Their Application for Body Variables and Carcass Traits in Qinchuan Cattle",0,0.000000,"None",0.000000,No
"SIRT6-CBP-dependent nuclear Tau accumulation and its role in protein synthesis",0,0.000000,"None",0.000000,No
"Rejuvenating Sirtuins: The Rise of a New Family of Cancer Drug Targets",1,3.621674,"epigenetic alterations",3.621674,Yes
"Molecular insights into the benefits of nicotine on memory and cognition (Review)",0,0.000000,"None",0.000000,No
"Osteoarthritis year in review 2016: biology",2,0.865420,"disabled macroautophagy",0.448749,Yes
"Myeloid cell-specific sirtuin 6 deficiency delays wound healing in mice by modulating inflammation and macrophage phenotypes",2,1.609299,"epigenetic alterations",0.805948,Yes
"NQO1 potentiates apoptosis evasion and upregulates XIAP via inhibiting proteasome-mediated degradation SIRT6 in hepatocellular carcinoma",0,0.000000,"None",0.000000,No
"The deacetylase SIRT6 promotes the repair of UV-induced DNA damage by targeting DDB2",2,3.288313,"genome instability",2.208988,Yes
"Potential therapeutic effects of cyanidin-3-O-glucoside on rheumatoid arthritis by relieving inhibition of CD38+ NK cells on Treg cell differentiation",1,0.237532,"stem cell exhaustion",0.237532,Yes
"CircRNA circ-ITCH improves renal inflammation and fibrosis in streptozotocin-induced diabetic mice by regulating the miR-33a-5p/SIRT6 axis",1,0.509481,"chronic inflammation",0.509481,Yes
"Hypoglycemic and lipid lowering effects of theaflavins in high-fat diet-induced obese mice",1,0.963731,"deregulated nutrient sensing",0.963731,Yes
"Multi-Targeted Molecular Docking, Pharmacokinetics, and Drug-Likeness Evaluation of Okra-Derived Ligand Abscisic Acid Targeting Signaling Proteins Involved in the Development of Diabetes",0,0.000000,"None",0.000000,No
"The role of SIRT6 in the differentiation of vascular smooth muscle cells in response to cyclic strain",0,0.000000,"None",0.000000,No
"SIRT6 inhibitors with salicylate-like structure show immunosuppressive and chemosensitizing effects",1,1.256508,"epigenetic alterations",1.256508,Yes
"SIRT6-mediated transcriptional suppression of Txnip is critical for pancreatic beta cell function and survival in mice",3,0.817756,"epigenetic alterations",0.534573,Yes
"FOXO3a‑SIRT6 axis suppresses aerobic glycolysis in melanoma",2,1.218950,"epigenetic alterations",1.030595,Yes
"Small-molecule activating SIRT6 elicits therapeutic effects and synergistically promotes anti-tumor activity of vitamin D<sub>3</sub> in colorectal cancer",1,2.541637,"epigenetic alterations",2.541637,Yes
"Selection Signatures Analysis Reveals Genes Associated with High-Altitude Adaptation in Tibetan Goats from Nagqu, Tibet",0,0.000000,"None",0.000000,No
"SIRT6 inhibits inflammatory response through regulation of NRF2 in vascular endothelial cells",2,1.945439,"epigenetic alterations",1.427193,Yes
"Sirtuin 6—A Key Regulator of Hepatic Lipid Metabolism and Liver Health",1,0.538955,"epigenetic alterations",0.538955,Yes
"A Comprehensive Study on the Anti-cancer Effects of Quercetin and Its Epigenetic Modifications in Arresting Progression of Colon Cancer Cell Proliferation",1,0.496064,"telomere attrition",0.496064,Yes
"Sirtuin family in autoimmune diseases",1,4.043650,"epigenetic alterations",4.043650,Yes
"Sirtuin 6 protects against podocyte injury by blocking the renin-angiotensin system by inhibiting the Wnt1/β-catenin pathway",0,0.000000,"None",0.000000,No
"SIRT6 deficiency culminates in low-turnover osteopenia",1,2.037987,"epigenetic alterations",2.037987,Yes
"Targeting sirtuins for the treatment of diabetes",1,2.739660,"epigenetic alterations",2.739660,Yes
"Sirtuin SIRT6 suppresses cell proliferation through inhibition of Twist1 expression in non-small cell lung cancer.",1,1.480864,"epigenetic alterations",1.480864,Yes
"SIRT6 suppresses phenylephrine-induced cardiomyocyte hypertrophy though inhibiting p300",1,2.762331,"epigenetic alterations",2.762331,Yes
"Interaction of hepatitis B virus X protein with PARP1 results in inhibition of DNA repair in hepatocellular carcinoma",1,1.526022,"genome instability",1.526022,Yes
"The effects of caloric restriction and a high-fat diet on ovarian lifespan and the expression of SIRT1 and SIRT6 proteins in rats",0,0.000000,"None",0.000000,No
"Sirt6 regulates postnatal growth plate differentiation and proliferation via Ihh signaling",0,0.000000,"None",0.000000,No
"Sirtuin 6 (SIRT6) regulates redox homeostasis and signaling events in human articular chondrocytes",1,1.622818,"epigenetic alterations",1.622818,Yes
"Diosgenin attenuates non-alcoholic fatty liver disease in type 2 diabetes through regulating SIRT6-related fatty acid uptake",1,0.498071,"mitochondrial dysfunction",0.498071,Yes
"SIRT6 Minor Allele Genotype Is Associated with &gt;5-Year Decrease in Lifespan in an Aged Cohort",1,1.187209,"epigenetic alterations",1.187209,Yes
"SIRT6 protein deacetylase interacts with MYH DNA glycosylase, APE1 endonuclease, and Rad9–Rad1–Hus1 checkpoint clamp",1,1.323825,"genome instability",1.323825,Yes
"An in silico study on antidiabetic activity of bioactive compounds in Euphorbia thymifolia Linn.",0,0.000000,"None",0.000000,No
"Cardioprotective Effects of SIRT6 in a Mouse Model of Transverse Aortic Constriction-Induced Heart Failure",3,3.171098,"epigenetic alterations",1.700045,Yes
"The histone deacetylase SIRT6 blocks myostatin expression and development of muscle atrophy",1,2.446331,"epigenetic alterations",2.446331,Yes
"Research progress on sirtuins family members and cell senescence",6,2.870854,"epigenetic alterations",0.975172,Yes
"The SIRT6 activator MDL‐800 improves genomic stability and pluripotency of old murine‐derived iPS cells",3,2.284071,"epigenetic alterations",1.397817,Yes
"The SIRT3 and SIRT6 Promote Prostate Cancer Progression by Inhibiting Necroptosis‐Mediated Innate Immune Response",1,0.829189,"epigenetic alterations",0.829189,Yes
"Bone marrow mesenchymal stem cell exosomes suppress phosphate-induced aortic calcification via SIRT6–HMGB1 deacetylation",2,1.411379,"epigenetic alterations",0.992565,Yes
"A unique subset of glycolytic tumour-propagating cells drives squamous cell carcinoma",1,0.192026,"deregulated nutrient sensing",0.192026,Yes
"Sirtuin 6 inhibition protects against glucocorticoid-induced skeletal muscle atrophy by regulating IGF/PI3K/AKT signaling",0,0.000000,"None",0.000000,No
"Shedding light on structure, function and regulation of human sirtuins: a comprehensive review",1,3.993252,"epigenetic alterations",3.993252,Yes
"N‐Acylethanolamines Bind to SIRT6",1,1.095020,"epigenetic alterations",1.095020,Yes
"OsSRT1 is involved in rice seed development through regulation of starch metabolism gene expression",2,2.257090,"epigenetic alterations",1.835788,Yes
"SIRT6 Depletion Suppresses Tumor Growth by Promoting Cellular Senescence Induced by DNA Damage in HCC",3,3.045457,"epigenetic alterations",1.257335,Yes
"Sirtuin 6: A potential therapeutic target for cardiovascular diseases",2,2.116227,"epigenetic alterations",1.667628,Yes
"SIRT6 mono-ADP ribosylates KDM2A to locally increase H3K36me2 at DNA damage sites to inhibit transcription and promote repair",2,1.559117,"genome instability",0.947917,Yes
"Mechanism of activation for the sirtuin 6 protein deacylase",2,3.738410,"epigenetic alterations",3.470701,Yes
"The nuclear sirtuin SIRT6 protects the heart from developing aging-associated myocyte senescence and cardiac hypertrophy",2,2.432888,"epigenetic alterations",1.616770,Yes
"Cartilage-specific Sirt6 deficiency represses IGF-1 and enhances osteoarthritis severity in mice",1,0.663518,"epigenetic alterations",0.663518,Yes
"Proteomic analysis of the SIRT6 interactome: novel links to genome maintenance and cellular stress signaling",1,0.496328,"epigenetic alterations",0.496328,Yes
"Sirt6 Promotes DNA End Joining in iPSCs Derived from Old Mice",2,2.176635,"genome instability",1.382854,Yes
"Downregulation of SIRT6 by miR-34c-5p is associated with poor prognosis and promotes colon cancer proliferation through inhibiting apoptosis via the JAK2/STAT3 signaling pathway",1,1.061180,"epigenetic alterations",1.061180,Yes
"p53 cooperates with SIRT6 to regulate cardiolipin de novo biosynthesis",2,1.814494,"epigenetic alterations",1.655752,Yes
"Sirt6 inhibition delays the onset of experimental autoimmune encephalomyelitis by reducing dendritic cell migration",2,0.820904,"epigenetic alterations",0.466111,Yes
"Sirtuin 6 deficiency induces endothelial cell senescence via downregulation of forkhead box M1 expression",2,1.534096,"epigenetic alterations",0.805940,Yes
"SIRT6 enhances oxidative phosphorylation in breast cancer and promotes mammary tumorigenesis in mice",2,1.962593,"epigenetic alterations",1.477015,Yes
"Chromosomal organization and fluorescence in situ hybridization of the human Sirtuin 6 gene",1,0.571578,"epigenetic alterations",0.571578,Yes
"USP10 alleviates sepsis-induced acute kidney injury by regulating Sirt6-mediated Nrf2/ARE signaling pathway",1,0.461776,"mitochondrial dysfunction",0.461776,Yes
"Regulation of Gene Expression through Food—Curcumin as a Sirtuin Activity Modulator",1,3.267001,"epigenetic alterations",3.267001,Yes
"Isoliquiritigenin from licorice flavonoids attenuates NLRP3-mediated pyroptosis by SIRT6 in vascular endothelial cells",1,0.123473,"chronic inflammation",0.123473,Yes
"ITCH modulates SIRT6 and SREBP2 to influence lipid metabolism and atherosclerosis in ApoE null mice",1,0.384037,"loss of proteostasis",0.384037,Yes
"Epigenetic regulation of NKG2D ligands is involved in exacerbated atherosclerosis development in Sirt6 heterozygous mice",1,3.372203,"epigenetic alterations",3.372203,Yes
"Up-regulation of SIRT6 in the hippocampus induced rats with depression-like behavior via the block Akt/GSK3β signaling pathway",0,0.000000,"None",0.000000,No
"Sirtuins: Possible Clinical Implications in Cardio and Cerebrovascular Diseases",2,2.646535,"epigenetic alterations",2.197910,Yes
"MiR-125b attenuates human hepatocellular carcinoma malignancy through targeting SIRT6.",1,0.667938,"epigenetic alterations",0.667938,Yes
"Structural Basis of Sirtuin 6 Inhibition by the Hydroxamate Trichostatin A: Implications for Protein Deacylase Drug Development",2,1.479610,"epigenetic alterations",1.412703,Yes
"Antioxidant and Anti-Inflammatory Activities of Buffalo Milk δ-Valerobetaine",2,1.766176,"mitochondrial dysfunction",1.345497,Yes
"SIRT6 protects retinal ganglion cells against hydrogen peroxide-induced apoptosis and oxidative stress by promoting Nrf2/ARE signaling via inhibition of Bach1",2,3.129516,"mitochondrial dysfunction",1.967737,Yes
"Abnormal expression of SIRTs in psoriasis: Decreased expression of SIRT 1-5 and increased expression of SIRT 6 and 7",1,0.521971,"chronic inflammation",0.521971,Yes
"When you’re strange: Unusual features of the MUTYH glycosylase and implications in cancer",1,1.509057,"genome instability",1.509057,Yes
"Exogenous Hydrogen Sulfide Ameliorates Diabetic Myocardial Fibrosis by Inhibiting Cell Aging Through SIRT6/AMPK Autophagy",4,2.852399,"deregulated nutrient sensing",0.870777,Yes
"Modulating Sirtuin Biology and Nicotinamide Adenine Diphosphate Metabolism in Cardiovascular Disease—From Bench to Bedside",1,2.333681,"epigenetic alterations",2.333681,Yes
"Honeysuckle extract (Lonicera pallasii L.) exerts antioxidant properties and extends the lifespan and healthspan of Drosophila melanogaster",1,0.558470,"mitochondrial dysfunction",0.558470,Yes
"Sirt6 regulates lifespan in <i>Drosophila melanogaster</i>",1,0.614562,"epigenetic alterations",0.614562,Yes
"Synthesis and characterization of a SIRT6 open tubular column: Predicting deacetylation activity using frontal chromatography",0,0.000000,"None",0.000000,No
"Perturbations of NAD<sup>+</sup>salvage systems impact mitochondrial function and energy homeostasis in mouse myoblasts and intact skeletal muscle",0,0.000000,"None",0.000000,No
"The effect of high glucose on the biological characteristics of nucleus pulposus‐derived mesenchymal stem cells",2,1.123793,"stem cell exhaustion",0.569662,Yes
"NAD+-mediated regulation of mammalian base excision repair",2,2.878785,"genome instability",1.729734,Yes
"Sub-cellular localization, expression and functions of Sirt6 during the cell cycle in HeLa cells",2,1.381440,"epigenetic alterations",1.265794,Yes
"A crucial role of SUMOylation in modulating Sirt6 deacetylation of H3 at lysine 56 and its tumor suppressive activity",3,2.559947,"epigenetic alterations",2.127122,Yes
"SIRT6 is upregulated and associated with cancer aggressiveness in papillary thyroid cancer via BRAF/ERK/Mcl-1 pathway",1,1.474103,"epigenetic alterations",1.474103,Yes
"Characterization of physiological defects in adult SIRT6-/- mice",1,1.416163,"epigenetic alterations",1.416163,Yes
"NAD+ loss, a new player in AhR biology: prevention of thymus atrophy and hepatosteatosis by NAD+ repletion",1,0.560505,"epigenetic alterations",0.560505,Yes
"Sirtuin 6 plays an oncogenic role and induces cell autophagy in esophageal cancer cells",2,1.571181,"disabled macroautophagy",0.903913,Yes
"Differential expression of the sirtuin family in renal cell carcinoma: Aspects of carcinogenesis and prognostic significance",1,1.451400,"epigenetic alterations",1.451400,Yes
"Hyperglycemia affects global 5-methylcytosine and 5-hydroxymethylcytosine in blood genomic DNA through upregulation of SIRT6 and TETs",1,1.049324,"epigenetic alterations",1.049324,Yes
"TRIM66 reads unmodified H3R2K4 and H3K56ac to respond to DNA damage in embryonic stem cells",3,3.629640,"genome instability",1.680491,Yes
"Sirtuins as novel targets in the pathogenesis of airway inflammation in bronchial asthma",2,2.471269,"epigenetic alterations",1.844774,Yes
"Quercetin, caffeic acid and resveratrol regulate circadian clock genes and aging-related genes in young and old human lung fibroblast cells",0,0.000000,"None",0.000000,No
"Administration of kynurenic acid reduces hyperlipidemia-induced inflammation and insulin resistance in skeletal muscle and adipocytes",2,1.461667,"deregulated nutrient sensing",1.000691,Yes
"Sirt6-mediated Nrf2/HO-1 activation alleviates angiotensin II-induced DNA DSBs and apoptosis in podocytes",1,0.928516,"genome instability",0.928516,Yes
"BaZiBuShen alleviates cognitive deficits and regulates Sirt6/NRF2/HO-1 and Sirt6/P53-PGC-1α-TERT signaling pathways in aging mice",4,2.029466,"telomere attrition",1.089702,Yes
"LncRNA MEG3 up-regulates SIRT6 by ubiquitinating EZH2 and alleviates nonalcoholic fatty liver disease",1,0.293109,"epigenetic alterations",0.293109,Yes
"Overexpressed SIRT6 ameliorates doxorubicin-induced cardiotoxicity and potentiates the therapeutic efficacy through metabolic remodeling",1,1.061811,"epigenetic alterations",1.061811,Yes
"The transcription factor GATA6 accelerates vascular smooth muscle cell senescence-related arterial calcification by counteracting the role of anti-aging factor SIRT6 and impeding DNA damage repair",1,0.511739,"cellular senescence",0.511739,Yes
"The histone acetyltransferase hMOF suppresses hepatocellular carcinoma growth",1,1.901633,"epigenetic alterations",1.901633,Yes
"Sirtuin 6 suppresses hypoxia‐induced inflammatory response in human osteoblasts via inhibition of reactive oxygen species production and glycolysis—A therapeutic implication in inflammatory bone resorption",4,1.963134,"mitochondrial dysfunction",0.681389,Yes
"Fabp4-Cre-mediated Sirt6 deletion impairs adipose tissue function and metabolic homeostasis in mice",3,1.732757,"epigenetic alterations",1.087984,Yes
"Synthetic Chromatin Acylation by an Artificial Catalyst System",1,2.226498,"epigenetic alterations",2.226498,Yes
"Sirtuin 6, a possible therapeutic target for type 2 diabetes",1,1.889233,"epigenetic alterations",1.889233,Yes
"Haploinsufficiency of Trp53 dramatically extends the lifespan of Sirt6-deficient mice",3,4.015041,"epigenetic alterations",1.973539,Yes
"Altered levels of sirtuin genes (SIRT1, SIRT2, SIRT3 and SIRT6) and their target genes in adipose tissue from individual with obesity",1,3.431082,"epigenetic alterations",3.431082,Yes
"Sirt6 in pro-opiomelanocortin neurons controls energy metabolism by modulating leptin signaling",1,0.766104,"epigenetic alterations",0.766104,Yes
"Silencing Sirtuin 6 induces cell cycle arrest and apoptosis in non-small cell lung cancer cell lines",1,0.602797,"epigenetic alterations",0.602797,Yes
"SIRT6 controls hepatic lipogenesis by suppressing LXR, ChREBP, and SREBP1",1,0.410631,"epigenetic alterations",0.410631,Yes
"Harnessing Reversed Allosteric Communication: A Novel Strategy for Allosteric Drug Discovery",0,0.000000,"None",0.000000,No
"Capsaicin Attenuates Arterial Calcification Through Promoting SIRT6-Mediated Deacetylation and Degradation of Hif1α (Hypoxic-Inducible Factor-1 Alpha)",0,0.000000,"None",0.000000,No
"Isoorientin reverses lung cancer drug resistance by promoting ferroptosis via the SIRT6/Nrf2/GPX4 signaling pathway",1,0.727012,"mitochondrial dysfunction",0.727012,Yes
"Scopoletin has a potential activity for anti-aging via autophagy in human lung fibroblasts",1,0.708602,"disabled macroautophagy",0.708602,Yes
"Phenotypic research on senile osteoporosis caused by SIRT6 deficiency",0,0.000000,"None",0.000000,No
"Sirtuin 6 inhibits epithelial to mesenchymal transition during idiopathic pulmonary fibrosis via inactivating TGF-β1/Smad3 signaling",0,0.000000,"None",0.000000,No
"Inhibition of Poly(ADP-ribose) Polymerase-1 Enhances Gene Expression of Selected Sirtuins and APP Cleaving Enzymes in Amyloid Beta Cytotoxicity",0,0.000000,"None",0.000000,No
"Current understanding and future perspectives of the roles of sirtuins in the reprogramming and differentiation of pluripotent stem cells",2,2.994628,"epigenetic alterations",2.440632,Yes
"Abdominal Fat SIRT6 Expression and Its Relationship with Inflammatory and Metabolic Pathways in Pre-Diabetic Overweight Patients",0,0.000000,"None",0.000000,No
"&lt;p&gt;SIRT6 promotes the Warburg effect of papillary thyroid cancer cell BCPAP through reactive oxygen species&lt;/p&gt;",2,0.623890,"mitochondrial dysfunction",0.547198,Yes
"Adipose sirtuin 6 drives macrophage polarization toward M2 through IL-4 production and maintains systemic insulin sensitivity in mice and humans",2,0.913421,"chronic inflammation",0.572236,Yes
"EGCG inhibits pressure overload‐induced cardiac hypertrophy via the PSMB5/Nmnat2/SIRT6‐dependent signalling pathways",0,0.000000,"None",0.000000,No
"A non-dividing cell population with high pyruvate dehydrogenase kinase activity regulates metabolic heterogeneity and tumorigenesis in the intestine",2,0.768417,"stem cell exhaustion",0.484691,Yes
"Cyanidin ameliorates the progression of osteoarthritis <i>via</i> the Sirt6/NF-κB axis <i>in vitro</i> and <i>in vivo</i>",1,0.707353,"chronic inflammation",0.707353,Yes
"Mono(ADP-ribosyl)ation Enzymes and NAD+ Metabolism: A Focus on Diseases and Therapeutic Perspectives",1,0.477599,"deregulated nutrient sensing",0.477599,Yes
"Chrysophanol prevents IL-1β-Induced inflammation and ECM degradation in osteoarthritis via the Sirt6/NF-κB and Nrf2/NF-κB axis",2,1.870742,"chronic inflammation",1.286334,Yes
"SIRT6 delays cellular senescence by promoting p27Kip1 ubiquitin-proteasome degradation",3,5.344168,"epigenetic alterations",1.969190,Yes
"The Oxidative State of Cysteine Thiol 144 Regulates the SIRT6 Glucose Homeostat",4,2.701626,"epigenetic alterations",1.135037,Yes
"Neuroblastoma cells undergo transcriptomic alterations upon dissemination into the bone marrow and subsequent tumor progression",0,0.000000,"None",0.000000,No
"SIRT6 inhibits cholesterol crystal-induced vascular endothelial dysfunction via Nrf2 activation",1,0.804371,"epigenetic alterations",0.804371,Yes
"Sirtuins as Possible Predictors of Aging and Alzheimer’s Disease Development: Verification in the Hippocampus and Saliva",1,2.069980,"epigenetic alterations",2.069980,Yes
"Versatile role of sirtuins in metabolic disorders: From modulation of mitochondrial function to therapeutic interventions",2,3.214937,"epigenetic alterations",2.740832,Yes
"Sirt6 reprograms myofibers to oxidative type through CREB-dependent Sox6 suppression",2,2.055082,"mitochondrial dysfunction",1.074024,Yes
"Oleanolic acid induces HCT116 colon cancer cell death through the p38/FOXO3a/Sirt6 pathway",2,1.790949,"disabled macroautophagy",1.368407,Yes
"Cryo-EM structure of the human Sirtuin 6–nucleosome complex",2,3.061797,"epigenetic alterations",2.750445,Yes
"Early oxidative stress and DNA damage in Aβ-burdened hippocampal neurons in an Alzheimer’s-like transgenic rat model",2,2.124557,"genome instability",1.310214,Yes
"Peptides and Pseudopeptides as SIRT6 Deacetylation Inhibitors",1,1.371133,"epigenetic alterations",1.371133,Yes
"Lysine fatty acylation promotes lysosomal targeting of TNF-α",1,0.624072,"epigenetic alterations",0.624072,Yes
"Hydroxytyrosol inhibits the inflammatory response of osteoarthritis chondrocytes via SIRT6-mediated autophagy",3,2.624184,"epigenetic alterations",1.052963,Yes
"Emerging Roles of Sirtuin 6 in Alzheimer’s Disease",1,0.813329,"epigenetic alterations",0.813329,Yes
"Downregulated SIRT6 and upregulated NMNAT2 are associated with the presence, depth and stage of colorectal cancer",1,1.249124,"epigenetic alterations",1.249124,Yes
"SIRT6 participates in the quality control of aged oocytes via modulating telomere function",4,3.079858,"telomere attrition",1.564622,Yes
"Protective Effects of SIRT6 Overexpression against DSS-Induced Colitis in Mice",2,2.536731,"epigenetic alterations",1.781305,Yes
"α-Hederin inhibits the growth of lung cancer A549 cells <i>in vitro</i> and <i>in vivo</i> by decreasing SIRT6 dependent glycolysis",1,0.248843,"deregulated nutrient sensing",0.248843,Yes
"Energy restriction induced SIRT6 inhibits microglia activation and promotes angiogenesis in cerebral ischemia via transcriptional inhibition of TXNIP",3,1.028040,"epigenetic alterations",0.675895,Yes
"Diosgenin protects against podocyte injury in early phase of diabetic nephropathy through regulating SIRT6",0,0.000000,"None",0.000000,No
"Ginsenoside Rc Modulates SIRT6-NRF2 Interaction to Alleviate Alcoholic Liver Disease",2,1.221786,"mitochondrial dysfunction",0.776701,Yes
"The histone deacetylase SIRT6 suppresses the expression of the RNA-binding protein PCBP2 in glioma",2,2.107716,"epigenetic alterations",1.651149,Yes
"SIRT6 regulates the cigarette smoke-induced signalling in rheumatoid arthritis synovial fibroblasts",2,0.938346,"chronic inflammation",0.497420,Yes
"STAT3 Suppression Is Involved in the Protective Effect of SIRT6 Against Cardiomyocyte Hypertrophy",1,0.618674,"epigenetic alterations",0.618674,Yes
"MST1 suppresses viability and promotes apoptosis of glioma cells via upregulating SIRT6 expression",1,1.478838,"epigenetic alterations",1.478838,Yes
"SIRT6 inhibits hypoxia-induced pulmonary arterial smooth muscle cells proliferation via HIF-1α/PDK4 signaling",1,0.599324,"epigenetic alterations",0.599324,Yes
"The potential of SIRT6 and SIRT7 as circulating markers for head and neck squamous cell carcinoma.",1,2.548316,"epigenetic alterations",2.548316,Yes
"Sirtuin 6 Modulates Hypoxia-induced Apoptosis in Osteoblasts via Inhibition of Glycolysis: Implication for Pathogenesis of Periapical Lesions",3,1.033327,"epigenetic alterations",0.427166,Yes
"<i>Retracted:</i> Sirtuin 6 contributes to migration and invasion of osteosarcoma cells via the ERK1/2/MMP9 pathway",1,0.760852,"epigenetic alterations",0.760852,Yes
"Glycyrrhetinic acid suppressed hmgb1 release by up-regulation of Sirt6 in nasal inflammation.",2,1.131839,"chronic inflammation",0.598412,Yes
"MicroRNA-186 suppresses lung cancer progression by targeting SIRT6",0,0.000000,"None",0.000000,No
"MicroRNA‐351‐5p aggravates intestinal ischaemia/reperfusion injury through the targeting of MAPK13 and Sirtuin‐6",2,1.141227,"epigenetic alterations",0.666726,Yes
"Sirt6 deletion in bone marrow-derived cells increases atherosclerosis – Central role of macrophage scavenger receptor 1",0,0.000000,"None",0.000000,No
"Discovery of Potent Small-Molecule SIRT6 Activators: Structure–Activity Relationship and Anti-Pancreatic Ductal Adenocarcinoma Activity",1,0.523387,"epigenetic alterations",0.523387,Yes
"Roles of SIRT6 in kidney disease: a novel therapeutic target",3,2.430408,"epigenetic alterations",1.484663,Yes
"The identification of a novel SIRT6 modulator from Trigonella foenum-graecum using ligand fishing with protein coated magnetic beads",0,0.000000,"None",0.000000,No
"Light–dark condition regulates sirtuin mRNA levels in the retina",1,0.844160,"epigenetic alterations",0.844160,Yes
"Inhibition of SIRT6 potentiates the anti-tumor effect of doxorubicin through suppression of the DNA damage repair pathway in osteosarcoma",2,2.098082,"genome instability",1.597779,Yes
"MicroRNA-338-3p as a novel therapeutic target for intervertebral disc degeneration",0,0.000000,"None",0.000000,No
